merge,left,right,distance,height
786,397,412,1.1803918120403813,1.2777947506653091
787,65,83,1.2759983419689405,1.2778133978487685
788,1060,1123,1.1871369835394214,1.2780039862819186
789,286,287,1.2313852052909868,1.2784175218196645
790,1031,1032,1.2784284304178637,1.2784284304178637
791,501,545,1.2786312835151799,1.2786312835151799
792,110,117,1.2774902318675503,1.2787570072986436
793,69,82,1.2787775838055417,1.2787775838055417
794,680,695,1.2559348904221086,1.278841726414401
795,1775,1777,1.278897271594759,1.278897271594759
796,2138,2139,1.2789005960956776,1.2789005960956776
797,2011,2012,1.278980381525273,1.278980381525273
798,1854,1855,1.2720804909714662,1.2789932806618471
799,353,354,1.2709636656709684,1.2790677292956611
800,1546,1564,1.2564865711185946,1.279232439107072
801,103,391,1.2794024965972677,1.2794024965972677
802,965,967,1.1405147125415835,1.2794126013952176
803,1874,1875,1.2795487087091235,1.2795487087091235
804,1809,1820,1.2402373867571508,1.2796678575978113
805,304,331,1.2590421259155447,1.280067013689622
806,1280,1477,1.2800868911834047,1.2800868911834047
807,72,102,1.28012342623458,1.28012342623458
808,1193,1194,1.2332172679345577,1.2803308732242997
809,492,506,1.2211082843781187,1.2804742526000648
810,919,922,1.1659242049553142,1.2804868759951695
811,1841,1842,1.2695109937551972,1.2806527397106364
812,1517,1519,1.2534306663609882,1.2807826054076252
813,1666,1698,1.2165629906437574,1.2807863322490196
814,320,321,1.2571394751036766,1.2809080593734565
815,654,655,1.261663274287984,1.2809330159466286
816,641,665,1.2428024071143626,1.2810363638762168
817,1046,1050,1.2419708114922192,1.28108164177259
818,118,119,1.2813318167008099,1.2813318167008099
819,1428,1434,1.2814147687317368,1.2814147687317368
820,6,8,1.2814479480405816,1.2814479480405816
821,1755,1757,1.2679862442653946,1.2816585888111995
822,2187,2197,1.2379555782036142,1.2817127942696573
823,1340,1346,1.2055427546683424,1.2818065813838087
824,618,621,1.2526706165107369,1.2820580880530348
825,1931,2095,1.2552915210105935,1.282182518332494
826,627,628,1.2435035264960714,1.2822279108087171
827,661,684,1.2822307305077765,1.2822307305077765
828,649,663,1.1860477155972569,1.2823022368306363
829,1230,1232,1.2823865665712704,1.2823865665712704
830,403,414,1.2409776429106545,1.2824717688142395
831,1432,1433,1.2100767390069591,1.282611021028581
832,298,302,1.2220027890011267,1.2826182107332118
