stage,ensemble,family,arm,start,open,closed,intermediate,recovery,tv,ess_fraction,open_conditional_ess,closed_conditional_ess,intermediate_conditional_ess
uptake,ISO_TRI,maxent,2,1,0.31638041304525333,0.4531368388642525,0.2304827480904942,64.4780791599664,0.23048274809049418,0.0037182662126401724,2.128304092350678,9.17731126801508,1.0321435354168846
uptake,ISO_TRI,maxent,3,0,0.3109939218585998,0.44706173318322834,0.24194434495817205,63.518857376220254,0.24194434495817196,0.0036494496818097037,2.027237151650369,9.323470562902827,1.0838839369713713
uptake,ISO_TRI,maxent,3,1,0.31099501573267785,0.4470582163717646,0.2419467678955574,63.51865089903408,0.24194676789555747,0.0036493748381218835,2.0271551104036916,9.32335175911195,1.0838991569504588
uptake,ISO_TRI,maxent,4,0,0.300244743279087,0.37683893530699264,0.3229163214139203,56.97067712321776,0.32291632141392035,0.0035600281670000143,1.0566985406537737,21.067494069176956,3.0494094164226793
uptake,ISO_TRI,maxent,4,1,0.30024523738565817,0.3768390125563692,0.32291575005797246,56.97071836335017,0.3229157500579726,0.0035600436979623938,1.0567075919271673,21.067205672276167,3.0494160909012957
uptake,ISO_TRI,maxent,5,0,0.19590626195284275,0.36056225997547553,0.4435314780716818,48.11070815854394,0.44353147807168175,0.01321470735470962,1.1389716092117776,799.3488326114019,1299.3613823256069
uptake,ISO_TRI,maxent,5,1,0.19590543623656906,0.36056517786312986,0.443529385900301,48.11084304171253,0.44352938590030105,0.013214819591731262,1.138971789589697,799.3521395830999,1299.3614196962058
uptake,ISO_TRI,maxent,6,0,0.02207666554001566,0.38104248502704663,0.5968808494329376,31.826429245688004,0.5968808494329376,0.9981463141935402,43.970321546331355,829.326046680155,1348.9094294516806
uptake,ISO_TRI,maxent,6,1,0.022076557316003914,0.381036932398111,0.5968865102858851,31.826134537481245,0.5968865102858851,0.9981457554816213,43.97032055826253,829.3259384290131,1348.9072322327675
uptake,ISO_TRI,scalar_logpf,7,0,0.31137686201944537,0.3749868621174046,0.3136362758631499,57.607758251139195,0.31363627586314996,0.0045146314304305045,19.204286280389894,70.41177308235277,1.0633681789598648
uptake,ISO_TRI,scalar_logpf,7,1,0.3086945480664732,0.3740670517593113,0.3172384001742157,57.34463492259998,0.31723840017421556,0.004474434594363858,23.391103404397786,70.6927376300105,1.0661876267873869
uptake,ISO_TRI,scalar_logpf,8,0,0.2871986485153342,0.3946059824991423,0.3181953689855237,57.43064356346661,0.3181953689855236,0.003630987125572628,2.7716527979625774,90.24120784910654,1.0970255890852656
uptake,ISO_TRI,scalar_logpf,8,1,0.28718623557011314,0.39459381703587826,0.3182199473940086,57.4287731557813,0.3182199473940086,0.0036302069490050156,2.7707526958250615,90.22119513766982,1.0969665005969356
uptake,ISO_TRI,scalar_logpf,9,0,0.1244945032771918,0.4346132697733894,0.4408922269494187,46.62108987918066,0.44089222694941876,0.005549090779247208,33.390808988930786,237.42599485791496,2.4379492168322083
uptake,ISO_TRI,scalar_logpf,9,1,0.12752083734008432,0.4408923105843268,0.4315868520755889,47.28362159839341,0.4315868520755889,0.005706263230400775,33.919640154055934,241.2401982332922,2.404159199376183
uptake,ISO_TRI,scalar_logpf,10,0,0.06675266557810212,0.45757351510131794,0.4756738193205801,41.692648482023706,0.47567381932058006,0.3951668967233201,37.42648791982766,452.93878981296825,406.9348220814288
uptake,ISO_TRI,scalar_logpf,10,1,0.06675280778225888,0.45757402807998965,0.4756731641377514,41.692692173734066,0.4756731641377514,0.3951663813426514,37.42651939718867,452.9391337548993,406.9334150916597
uptake,ISO_TRI,scalar_logpf,11,0,0.041130204754515266,0.46643976882051064,0.49243002642497397,38.82851398906711,0.492430026424974,0.5905177178877297,43.269678687764625,632.9107108727021,641.0928878703573
uptake,ISO_TRI,scalar_logpf,11,1,0.0411303369504165,0.4664479483730626,0.49242171467652085,38.82893129974979,0.49242171467652085,0.5905179311398799,43.26968642667658,632.9128685678033,641.0905742521958
